,0,1,2
0,29,27,9
1,29,16,17
2,22,16,18
3,23,19,24
4,26,16,26
5,28,22,9
6,11,15,16
7,24,28,15
8,25,8,3
9,14,29,7
10,18,2,8
11,8,18,18
12,21,24,10
13,1,9,1
14,21,5,25
15,27,11,10
16,25,1,27
17,26,11,10
18,27,25,28
19,12,24,4
20,2,19,10
21,27,7,7
22,12,18,21
23,21,22,1
24,2,26,15
25,10,1,16
26,19,20,15
27,13,8,20
28,8,15,2
29,29,24,3
30,14,18,17
31,15,12,25
32,25,4,17
33,23,12,7
34,28,29,22
35,27,18,19
36,4,17,16
37,18,25,14
38,23,4,19
39,11,9,11
40,23,28,17
41,15,29,26
42,29,3,24
43,28,21,28
44,6,21,26
45,8,22,26
46,5,2,8
47,20,5,3
48,29,9,3
49,10,3,17
50,6,10,10
51,21,3,23
52,18,20,5
53,17,25,10
54,27,12,11
55,20,26,3
56,19,27,4
57,18,29,23
58,11,5,20
59,12,13,27
60,14,1,18
61,2,12,4
62,17,20,29
63,8,22,29
64,19,27,5
65,11,5,29
66,15,4,26
67,5,20,6
68,26,22,23
69,21,16,25
70,14,8,22
71,24,17,19
72,25,23,1
73,8,2,19
74,28,20,26
75,18,18,13
76,8,16,20
77,10,1,5
78,15,17,13
79,29,20,3
80,22,23,25
81,13,7,10
82,7,23,19
83,29,15,18
84,20,3,1
85,10,23,18
86,25,29,4
87,26,7,26
88,6,3,10
89,14,6,3
90,12,17,4
91,20,16,25
92,28,11,3
93,6,1,16
94,23,29,14
95,26,3,24
96,5,26,21
97,24,23,5
98,13,20,3
99,20,14,12
